"SDG_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PAK","Pakistan","2006","2006",67.65184,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PAK","Pakistan","2007","2007",65.00494,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PAK","Pakistan","2008","2008",68.8661,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PAK","Pakistan","2009","2009",68.62762,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PAK","Pakistan","2010","2010",68.90061,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PAK","Pakistan","2011","2011",66.99114,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PAK","Pakistan","2012","2012",69.85822,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PAK","Pakistan","2013","2013",68.62934,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PAK","Pakistan","2014","2014",69.06681,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PAK","Pakistan","2017","2017",71.116,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PAK","Pakistan","2018","2018",69.27658,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","PAK","Pakistan","2019","2019",69.28746,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","NAM","Namibia","2001","2001",92.42438,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","NAM","Namibia","2007","2007",87.09541,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","NAM","Namibia","2011","2011",94.41944,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","NAM","Namibia","2018","2018",95.1649,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SYR","Syrian Arab Republic","2002","2002",97.14407,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SYR","Syrian Arab Republic","2004","2004",94.60731,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","EGY","Egypt","2005","2005",90.07912,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","EGY","Egypt","2006","2006",87.8568,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","EGY","Egypt","2010","2010",90.55763,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","EGY","Egypt","2012","2012",92.35576,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","EGY","Egypt","2013","2013",93.64928,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","EGY","Egypt","2017","2017",89.48338,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40611","Asia (Eastern)","2000","2000",94.7894,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40611","Asia (Eastern)","2001","2001",95.01618,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40611","Asia (Eastern)","2002","2002",95.2554,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40611","Asia (Eastern)","2003","2003",95.50583,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40611","Asia (Eastern)","2004","2004",95.76086,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40611","Asia (Eastern)","2005","2005",95.97772,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40611","Asia (Eastern)","2006","2006",96.17597,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40611","Asia (Eastern)","2007","2007",96.85458,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40611","Asia (Eastern)","2008","2008",97.02313,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40611","Asia (Eastern)","2009","2009",97.1728,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40611","Asia (Eastern)","2010","2010",97.07077,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40611","Asia (Eastern)","2011","2011",97.24311,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40611","Asia (Eastern)","2012","2012",97.37992,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40611","Asia (Eastern)","2013","2013",97.49536,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40611","Asia (Eastern)","2014","2014",97.72784,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40611","Asia (Eastern)","2015","2015",97.85546,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40611","Asia (Eastern)","2016","2016",97.94667,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40611","Asia (Eastern)","2017","2017",98.04183,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40611","Asia (Eastern)","2018","2018",98.12872,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40611","Asia (Eastern)","2019","2019",98.21437,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","40611","Asia (Eastern)","2020","2020",98.29864,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","TTO","Trinidad and Tobago","2000","2000",99.4,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","TTO","Trinidad and Tobago","2010","2010",99.6,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2001","2001",99.12767,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2006","2006",99.50357,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2009","2009",99.69673,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2010","2010",99.58867,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2011","2011",99.71145,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2012","2012",99.61428,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2013","2013",99.59812,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2014","2014",99.4024,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2015","2015",99.6435,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2016","2016",99.62893,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARG","Argentina","2018","2018",99.75765,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","ARM","Armenia","2001","2001",99.75235,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","ARM","Armenia","2011","2011",99.81842,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","ARM","Armenia","2017","2017",99.82128,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","ARM","Armenia","2020","2020",99.85206,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40606","Africa (Sub-Saharan) ","2000","2000",71.67337,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40606","Africa (Sub-Saharan) ","2001","2001",71.65308,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40606","Africa (Sub-Saharan) ","2002","2002",73.98203,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40606","Africa (Sub-Saharan) ","2003","2003",74.06216,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40606","Africa (Sub-Saharan) ","2004","2004",75.23994,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40606","Africa (Sub-Saharan) ","2005","2005",73.88747,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40606","Africa (Sub-Saharan) ","2006","2006",74.91653,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40606","Africa (Sub-Saharan) ","2007","2007",73.92537,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40606","Africa (Sub-Saharan) ","2008","2008",74.00316,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40606","Africa (Sub-Saharan) ","2009","2009",74.30735,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40606","Africa (Sub-Saharan) ","2010","2010",74.88617,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40606","Africa (Sub-Saharan) ","2011","2011",76.02763,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40606","Africa (Sub-Saharan) ","2012","2012",77.30062,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40606","Africa (Sub-Saharan) ","2013","2013",77.88048,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40606","Africa (Sub-Saharan) ","2014","2014",78.29309,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40606","Africa (Sub-Saharan) ","2015","2015",78.58382,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40606","Africa (Sub-Saharan) ","2016","2016",78.72488,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40606","Africa (Sub-Saharan) ","2017","2017",78.92323,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40606","Africa (Sub-Saharan) ","2018","2018",79.04928,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40606","Africa (Sub-Saharan) ","2019","2019",79.24384,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40606","Africa (Sub-Saharan) ","2020","2020",79.45692,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","MMR","Myanmar","2000","2000",93.92426,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","MMR","Myanmar","2016","2016",80.01159,"‡","UIS Estimation"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","MMR","Myanmar","2019","2019",92.39293,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40613","Asia (South-eastern)","2000","2000",96.23022,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40613","Asia (South-eastern)","2001","2001",96.25148,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40613","Asia (South-eastern)","2002","2002",96.31653,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40613","Asia (South-eastern)","2003","2003",96.52884,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40613","Asia (South-eastern)","2004","2004",96.60375,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40613","Asia (South-eastern)","2005","2005",96.70507,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40613","Asia (South-eastern)","2006","2006",96.39918,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40613","Asia (South-eastern)","2007","2007",96.53646,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40613","Asia (South-eastern)","2008","2008",97.71416,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40613","Asia (South-eastern)","2009","2009",97.57259,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40613","Asia (South-eastern)","2010","2010",97.50881,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40613","Asia (South-eastern)","2011","2011",96.23502,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40613","Asia (South-eastern)","2012","2012",96.41719,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40613","Asia (South-eastern)","2013","2013",96.59195,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40613","Asia (South-eastern)","2014","2014",97.22695,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40613","Asia (South-eastern)","2015","2015",97.42486,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40613","Asia (South-eastern)","2016","2016",97.51178,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40613","Asia (South-eastern)","2017","2017",97.60211,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40613","Asia (South-eastern)","2018","2018",97.61714,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40613","Asia (South-eastern)","2019","2019",97.71513,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40613","Asia (South-eastern)","2020","2020",97.79564,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","AGO","Angola","2001","2001",63.18212,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","AGO","Angola","2014","2014",70.58513,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","KEN","Kenya","2000","2000",77.89298,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","KEN","Kenya","2007","2007",66.86312,"‡","UIS Estimation"
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","KEN","Kenya","2014","2014",74.00632,"‡","UIS Estimation"
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","KEN","Kenya","2018","2018",78.18893,"‡","UIS Estimation"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HTI","Haiti","2003","2003",63.09002,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HTI","Haiti","2006","2006",53.35505,"‡","UIS Estimation"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","HTI","Haiti","2016","2016",65.27765,"‡","UIS Estimation"
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","IDN","Indonesia","2004","2004",98.54216,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","IDN","Indonesia","2006","2006",96.27236,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","IDN","Indonesia","2008","2008",99.38241,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","IDN","Indonesia","2009","2009",99.39659,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","IDN","Indonesia","2011","2011",98.7518,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","IDN","Indonesia","2014","2014",99.67883,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","IDN","Indonesia","2015","2015",99.63702,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","IDN","Indonesia","2016","2016",99.65351,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","IDN","Indonesia","2018","2018",99.69625,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","IDN","Indonesia","2020","2020",99.78145,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40334","Least Developed Countries","2000","2000",42.57557,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40334","Least Developed Countries","2001","2001",43.5664,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40334","Least Developed Countries","2002","2002",43.68189,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40334","Least Developed Countries","2003","2003",44.62826,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40334","Least Developed Countries","2004","2004",45.79671,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40334","Least Developed Countries","2005","2005",45.8438,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40334","Least Developed Countries","2006","2006",44.93523,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40334","Least Developed Countries","2007","2007",45.30956,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40334","Least Developed Countries","2008","2008",47.09449,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40334","Least Developed Countries","2009","2009",47.76855,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40334","Least Developed Countries","2010","2010",48.44529,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40334","Least Developed Countries","2011","2011",48.8047,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40334","Least Developed Countries","2012","2012",49.74791,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40334","Least Developed Countries","2013","2013",51.27193,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40334","Least Developed Countries","2014","2014",52.13674,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40334","Least Developed Countries","2015","2015",53.63771,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40334","Least Developed Countries","2016","2016",55.84854,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40334","Least Developed Countries","2017","2017",56.85787,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40334","Least Developed Countries","2018","2018",57.61592,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40334","Least Developed Countries","2019","2019",58.3248,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40334","Least Developed Countries","2020","2020",59.00613,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARE","United Arab Emirates","2005","2005",97.00174,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","ARE","United Arab Emirates","2019","2019",99.08706,"‡","UIS Estimation"
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","YEM","Yemen","2004","2004",35,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","ALB","Albania","2001","2001",99.43515,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","ALB","Albania","2008","2008",98.83121,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","ALB","Albania","2011","2011",98.79119,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","ALB","Albania","2012","2012",99.2314,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","ALB","Albania","2018","2018",99.33,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SUR","Suriname","2004","2004",95.61588,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SUR","Suriname","2008","2008",99.37586,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SUR","Suriname","2010","2010",97.97273,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SUR","Suriname","2012","2012",98.08572,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","SUR","Suriname","2018","2018",98.87544,"‡","UIS Estimation"
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","TLS","Timor-Leste","2001","2001",45.3,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","TLS","Timor-Leste","2007","2007",58.5,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","TLS","Timor-Leste","2010","2010",63.59179,,
"LR_AG15T99_M","Adult literacy rate, population 15+ years, male (%)","TLS","Timor-Leste","2018","2018",71.86872,"‡","UIS Estimation"
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40618","Asia (Central and Southern)","2000","2000",48.27041,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40618","Asia (Central and Southern)","2001","2001",49.04971,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40618","Asia (Central and Southern)","2002","2002",50.07527,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40618","Asia (Central and Southern)","2003","2003",51.13542,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40618","Asia (Central and Southern)","2004","2004",52.13354,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40618","Asia (Central and Southern)","2005","2005",51.39679,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40618","Asia (Central and Southern)","2006","2006",52.59489,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40618","Asia (Central and Southern)","2007","2007",53.137,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40618","Asia (Central and Southern)","2008","2008",54.76959,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40618","Asia (Central and Southern)","2009","2009",56.0299,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40618","Asia (Central and Southern)","2010","2010",58.81116,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40618","Asia (Central and Southern)","2011","2011",59.60476,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40618","Asia (Central and Southern)","2012","2012",60.07736,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40618","Asia (Central and Southern)","2013","2013",61.02833,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40618","Asia (Central and Southern)","2014","2014",61.94134,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40618","Asia (Central and Southern)","2015","2015",63.03161,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40618","Asia (Central and Southern)","2016","2016",64.4079,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40618","Asia (Central and Southern)","2017","2017",65.33264,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40618","Asia (Central and Southern)","2018","2018",65.95796,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40618","Asia (Central and Southern)","2019","2019",66.82115,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40618","Asia (Central and Southern)","2020","2020",67.67136,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","NCL","New Caledonia","2014","2014",99.3,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BFA","Burkina Faso","2003","2003",38.38109,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BFA","Burkina Faso","2005","2005",40.37981,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BFA","Burkina Faso","2006","2006",39.82187,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BFA","Burkina Faso","2007","2007",46.73374,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BFA","Burkina Faso","2014","2014",56.99489,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BFA","Burkina Faso","2018","2018",63.86195,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","GRD","Grenada","2004","2004",98.6,"‡","UIS Estimation"
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","GRD","Grenada","2014","2014",98.6,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","LBR","Liberia","2007","2007",49.07411,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","LBR","Liberia","2017","2017",55.3987,"‡","UIS Estimation"
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40505","Central Asia","2000","2000",98.1203,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40505","Central Asia","2001","2001",98.14804,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40505","Central Asia","2002","2002",98.26775,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40505","Central Asia","2003","2003",98.38373,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40505","Central Asia","2004","2004",98.49457,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40505","Central Asia","2005","2005",99.08268,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40505","Central Asia","2006","2006",99.14194,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40505","Central Asia","2007","2007",99.20842,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40505","Central Asia","2008","2008",99.2903,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40505","Central Asia","2009","2009",99.67035,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40505","Central Asia","2010","2010",99.69524,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40505","Central Asia","2011","2011",99.70031,,
