indicator_name,age_demographic,sex_demographic,location,country,year,literacy_rate,lit_flag_codes,lit_flags,pop_flag_codes,pop_flags,population,youth_goal_met,illiteracy_rate,illiterate_population
Youth literacy rate,15-24 years,Female,ARG,Argentina,2014,0.994024,‡,UIS Estimation,,,7013000,,0.005975999999999981,41909.68799999987
Youth literacy rate,15-24 years,Female,ARG,Argentina,2015,0.9964350000000001,‡,UIS Estimation,,,7023000,,0.0035649999999999293,25036.994999999504
Youth literacy rate,15-24 years,Female,ARG,Argentina,2016,0.9962892999999999,‡,UIS Estimation,,,7025000,,0.0037107000000000667,26067.66750000047
Youth literacy rate,15-24 years,Female,ARG,Argentina,2018,0.9975765,,,,,7017000,TRUE,0.002423500000000023,17005.69950000016
Youth literacy rate,15-24 years,Male,ARM,Armenia,2001,0.9975235000000001,,,,,540000,,0.0024764999999998816,1337.309999999936
Youth literacy rate,15-24 years,Male,ARM,Armenia,2011,0.9981842000000001,,,,,505000,,0.001815799999999923,916.9789999999612
Youth literacy rate,15-24 years,Male,ARM,Armenia,2017,0.9982128,,,,,383000,,0.0017871999999999888,684.4975999999957
Youth literacy rate,15-24 years,Male,ARM,Armenia,2020,0.9985206,,,,,347000,TRUE,0.0014794000000000196,513.3518000000068
Youth literacy rate,15-24 years,Male,40606,Africa (Sub-Saharan),2000,0.7167337,,,,,,,0.28326629999999997,
Youth literacy rate,15-24 years,Male,40606,Africa (Sub-Saharan),2001,0.7165308,,,,,,,0.2834692,
Youth literacy rate,15-24 years,Male,40606,Africa (Sub-Saharan),2002,0.7398203,,,,,,,0.2601797,
Youth literacy rate,15-24 years,Male,40606,Africa (Sub-Saharan),2003,0.7406216000000001,,,,,,,0.2593783999999999,
Youth literacy rate,15-24 years,Male,40606,Africa (Sub-Saharan),2004,0.7523994,,,,,,,0.24760059999999995,
Youth literacy rate,15-24 years,Male,40606,Africa (Sub-Saharan),2005,0.7388746999999999,,,,,,,0.2611253000000001,
Youth literacy rate,15-24 years,Male,40606,Africa (Sub-Saharan),2006,0.7491652999999999,,,,,,,0.2508347000000001,
Youth literacy rate,15-24 years,Male,40606,Africa (Sub-Saharan),2007,0.7392537,,,,,,,0.2607463,
Youth literacy rate,15-24 years,Male,40606,Africa (Sub-Saharan),2008,0.7400315999999999,,,,,,,0.2599684000000001,
Youth literacy rate,15-24 years,Male,40606,Africa (Sub-Saharan),2009,0.7430734999999999,,,,,,,0.25692650000000006,
Youth literacy rate,15-24 years,Male,40606,Africa (Sub-Saharan),2010,0.7488617000000001,,,,,,,0.2511382999999999,
Youth literacy rate,15-24 years,Male,40606,Africa (Sub-Saharan),2011,0.7602763,,,,,,,0.23972369999999998,
Youth literacy rate,15-24 years,Male,40606,Africa (Sub-Saharan),2012,0.7730062,,,,,,,0.22699380000000002,
Youth literacy rate,15-24 years,Male,40606,Africa (Sub-Saharan),2013,0.7788048000000001,,,,,,,0.22119519999999993,
Youth literacy rate,15-24 years,Male,40606,Africa (Sub-Saharan),2014,0.7829309000000001,,,,,,,0.2170690999999999,
Youth literacy rate,15-24 years,Male,40606,Africa (Sub-Saharan),2015,0.7858382,,,,,,,0.21416179999999996,
Youth literacy rate,15-24 years,Male,40606,Africa (Sub-Saharan),2016,0.7872488,,,,,,,0.21275120000000003,
Youth literacy rate,15-24 years,Male,40606,Africa (Sub-Saharan),2017,0.7892323,,,,,,,0.2107677,
Youth literacy rate,15-24 years,Male,40606,Africa (Sub-Saharan),2018,0.7904928,,,,,,,0.2095072,
Youth literacy rate,15-24 years,Male,40606,Africa (Sub-Saharan),2019,0.7924384000000001,,,,,,,0.2075615999999999,
Youth literacy rate,15-24 years,Male,40606,Africa (Sub-Saharan),2020,0.7945692,,,,,,FALSE,0.20543080000000002,
Adult literacy rate,15+ years,Male,MMR,Myanmar,2000,0.9392426,,,,,31530000,,0.06075739999999996,1915680.8219999988
Adult literacy rate,15+ years,Male,MMR,Myanmar,2016,0.8001159,‡,UIS Estimation,,,38549000,,0.1998841,7705332.1709
Adult literacy rate,15+ years,Male,MMR,Myanmar,2019,0.9239293000000001,,,,,40040000,,0.07607069999999994,3045870.8279999974
Youth literacy rate,15-24 years,Both Sexes,40613,Asia (South-eastern),2000,0.9623022,,,,,,,0.037697800000000004,
Youth literacy rate,15-24 years,Both Sexes,40613,Asia (South-eastern),2001,0.9625148,,,,,,,0.037485199999999996,
Youth literacy rate,15-24 years,Both Sexes,40613,Asia (South-eastern),2002,0.9631653,,,,,,,0.0368347,
Youth literacy rate,15-24 years,Both Sexes,40613,Asia (South-eastern),2003,0.9652884,,,,,,,0.034711599999999954,
Youth literacy rate,15-24 years,Both Sexes,40613,Asia (South-eastern),2004,0.9660375000000001,,,,,,,0.033962499999999896,
Youth literacy rate,15-24 years,Both Sexes,40613,Asia (South-eastern),2005,0.9670507,,,,,,,0.03294929999999996,
Youth literacy rate,15-24 years,Both Sexes,40613,Asia (South-eastern),2006,0.9639918000000001,,,,,,,0.036008199999999935,
Youth literacy rate,15-24 years,Both Sexes,40613,Asia (South-eastern),2007,0.9653646,,,,,,,0.03463539999999998,
Youth literacy rate,15-24 years,Both Sexes,40613,Asia (South-eastern),2008,0.9771416,,,,,,,0.022858399999999945,
Youth literacy rate,15-24 years,Both Sexes,40613,Asia (South-eastern),2009,0.9757259,,,,,,,0.024274099999999965,
Youth literacy rate,15-24 years,Both Sexes,40613,Asia (South-eastern),2010,0.9750881,,,,,,,0.024911899999999987,
Youth literacy rate,15-24 years,Both Sexes,40613,Asia (South-eastern),2011,0.9623502,,,,,,,0.037649799999999956,
Youth literacy rate,15-24 years,Both Sexes,40613,Asia (South-eastern),2012,0.9641719000000001,,,,,,,0.03582809999999992,
Youth literacy rate,15-24 years,Both Sexes,40613,Asia (South-eastern),2013,0.9659194999999999,,,,,,,0.03408050000000007,
Youth literacy rate,15-24 years,Both Sexes,40613,Asia (South-eastern),2014,0.9722695,,,,,,,0.02773049999999999,
Youth literacy rate,15-24 years,Both Sexes,40613,Asia (South-eastern),2015,0.9742485999999999,,,,,,,0.02575140000000009,
Youth literacy rate,15-24 years,Both Sexes,40613,Asia (South-eastern),2016,0.9751178,,,,,,,0.024882199999999965,
Youth literacy rate,15-24 years,Both Sexes,40613,Asia (South-eastern),2017,0.9760211,,,,,,,0.023978900000000025,
Youth literacy rate,15-24 years,Both Sexes,40613,Asia (South-eastern),2018,0.9761714,,,,,,,0.023828599999999978,
Youth literacy rate,15-24 years,Both Sexes,40613,Asia (South-eastern),2019,0.9771513000000001,,,,,,,0.022848699999999944,
Youth literacy rate,15-24 years,Both Sexes,40613,Asia (South-eastern),2020,0.9779564000000001,,,,,,TRUE,0.02204359999999994,
Youth literacy rate,15-24 years,Female,AGO,Angola,2001,0.6318212,,,,,3340000,,0.36817880000000003,1229717.192
Youth literacy rate,15-24 years,Female,AGO,Angola,2014,0.7058513000000001,,,,,5210000,FALSE,0.29414869999999993,1532514.7269999997
Adult literacy rate,15+ years,Female,KEN,Kenya,2000,0.7789297999999999,,,,,17501000,,0.2210702000000001,3868949.570200002
Adult literacy rate,15+ years,Female,KEN,Kenya,2007,0.6686312,‡,UIS Estimation,,,21757000,,0.3313688,7209590.9816000005
Adult literacy rate,15+ years,Female,KEN,Kenya,2014,0.7400632,‡,UIS Estimation,,,27117000,,0.25993679999999997,7048706.205599999
Adult literacy rate,15+ years,Female,KEN,Kenya,2018,0.7818893,‡,UIS Estimation,,,30947000,,0.2181107,6749871.8329
Adult literacy rate,15+ years,Male,HTI,Haiti,2003,0.6309002,,,,,5432000,,0.3690998,2004950.1135999998
Adult literacy rate,15+ years,Male,HTI,Haiti,2006,0.5335505,‡,UIS Estimation,,,5814000,,0.46644949999999996,2711937.3929999997
Adult literacy rate,15+ years,Male,HTI,Haiti,2016,0.6527765,‡,UIS Estimation,,,7155000,,0.3472235,2484384.1425
Youth literacy rate,15-24 years,Female,IDN,Indonesia,2004,0.9854216,,,,,43097000,,0.014578399999999991,628285.3047999996
Youth literacy rate,15-24 years,Female,IDN,Indonesia,2006,0.9627236,,,,,43190000,,0.03727639999999999,1609967.7159999995
Youth literacy rate,15-24 years,Female,IDN,Indonesia,2008,0.9938240999999999,,,,,42710000,,0.006175900000000123,263772.68900000525
Youth literacy rate,15-24 years,Female,IDN,Indonesia,2009,0.9939659000000001,,,,,42236000,,0.006034099999999931,254856.2475999971
Youth literacy rate,15-24 years,Female,IDN,Indonesia,2011,0.987518,,,,,42032000,,0.012481999999999993,524643.4239999998
Youth literacy rate,15-24 years,Female,IDN,Indonesia,2014,0.9967883000000001,,,,,43484000,,0.0032116999999999285,139657.5627999969
Youth literacy rate,15-24 years,Female,IDN,Indonesia,2015,0.9963702000000001,,,,,44022000,,0.0036297999999999053,159791.05559999583
Youth literacy rate,15-24 years,Female,IDN,Indonesia,2016,0.9965351,,,,,44472000,,0.003464899999999993,154091.0327999997
Youth literacy rate,15-24 years,Female,IDN,Indonesia,2018,0.9969625000000001,,,,,45402000,,0.0030374999999999153,137908.57499999614
Youth literacy rate,15-24 years,Female,IDN,Indonesia,2020,0.9978145,,,,,45972000,TRUE,0.0021854999999999514,100471.80599999777
Adult literacy rate,15+ years,Female,40334,Least Developed Countries,2000,0.4257557,,,,,,,0.5742442999999999,
Adult literacy rate,15+ years,Female,40334,Least Developed Countries,2001,0.435664,,,,,,,0.564336,
Adult literacy rate,15+ years,Female,40334,Least Developed Countries,2002,0.4368189,,,,,,,0.5631811,
Adult literacy rate,15+ years,Female,40334,Least Developed Countries,2003,0.4462826,,,,,,,0.5537174,
Adult literacy rate,15+ years,Female,40334,Least Developed Countries,2004,0.45796709999999996,,,,,,,0.5420329,
Adult literacy rate,15+ years,Female,40334,Least Developed Countries,2005,0.458438,,,,,,,0.541562,
Adult literacy rate,15+ years,Female,40334,Least Developed Countries,2006,0.4493523,,,,,,,0.5506477000000001,
Adult literacy rate,15+ years,Female,40334,Least Developed Countries,2007,0.4530956,,,,,,,0.5469044000000001,
Adult literacy rate,15+ years,Female,40334,Least Developed Countries,2008,0.4709449,,,,,,,0.5290551,
Adult literacy rate,15+ years,Female,40334,Least Developed Countries,2009,0.4776855,,,,,,,0.5223145,
Adult literacy rate,15+ years,Female,40334,Least Developed Countries,2010,0.4844529,,,,,,,0.5155471,
Adult literacy rate,15+ years,Female,40334,Least Developed Countries,2011,0.48804699999999995,,,,,,,0.5119530000000001,
Adult literacy rate,15+ years,Female,40334,Least Developed Countries,2012,0.49747909999999995,,,,,,,0.5025209,
Adult literacy rate,15+ years,Female,40334,Least Developed Countries,2013,0.5127193,,,,,,,0.4872807,
Adult literacy rate,15+ years,Female,40334,Least Developed Countries,2014,0.5213674,,,,,,,0.47863259999999996,
Adult literacy rate,15+ years,Female,40334,Least Developed Countries,2015,0.5363770999999999,,,,,,,0.46362290000000006,
Adult literacy rate,15+ years,Female,40334,Least Developed Countries,2016,0.5584854,,,,,,,0.4415146,
Adult literacy rate,15+ years,Female,40334,Least Developed Countries,2017,0.5685787,,,,,,,0.4314213,
Adult literacy rate,15+ years,Female,40334,Least Developed Countries,2018,0.5761592,,,,,,,0.4238408,
Adult literacy rate,15+ years,Female,40334,Least Developed Countries,2019,0.583248,,,,,,,0.416752,
Adult literacy rate,15+ years,Female,40334,Least Developed Countries,2020,0.5900613,,,,,,,0.4099387,
Youth literacy rate,15-24 years,Female,ARE,United Arab Emirates,2005,0.9700174,,,,,738000,,0.02998259999999997,22127.15879999998
Youth literacy rate,15-24 years,Female,ARE,United Arab Emirates,2019,0.9908705999999999,‡,UIS Estimation,,,1149000,TRUE,0.009129400000000065,10489.680600000074
Adult literacy rate,15+ years,Female,YEM,Yemen,2004,0.35,‡,UIS Estimation,,,10408000,,0.65,6765200
Youth literacy rate,15-24 years,Both Sexes,ALB,Albania,2001,0.9943514999999999,,,,,533000,,0.005648500000000056,3010.65050000003
Youth literacy rate,15-24 years,Both Sexes,ALB,Albania,2008,0.9883121,,,,,553000,,0.011687899999999973,6463.408699999985
Youth literacy rate,15-24 years,Both Sexes,ALB,Albania,2011,0.9879119,,,,,538000,,0.012088100000000046,6503.397800000025
Youth literacy rate,15-24 years,Both Sexes,ALB,Albania,2012,0.9923139999999999,,,,,534000,,0.007686000000000082,4104.324000000043
Youth literacy rate,15-24 years,Both Sexes,ALB,Albania,2018,0.9933,‡,UIS Estimation,,,458000,TRUE,0.006700000000000039,3068.600000000018
Youth literacy rate,15-24 years,Male,SUR,Suriname,2004,0.9561588000000001,,,,,88000,,0.043841199999999914,3858.025599999992
Youth literacy rate,15-24 years,Male,SUR,Suriname,2008,0.9937586,,,,,93000,,0.0062413999999999525,580.4501999999956
Youth literacy rate,15-24 years,Male,SUR,Suriname,2010,0.9797273,,,,,95000,,0.020272700000000032,1925.906500000003
Youth literacy rate,15-24 years,Male,SUR,Suriname,2012,0.9808572,,,,,97000,,0.019142800000000015,1856.8516000000016
Youth literacy rate,15-24 years,Male,SUR,Suriname,2018,0.9887543999999999,‡,UIS Estimation,,,99000,TRUE,0.011245600000000078,1113.3144000000077
Adult literacy rate,15+ years,Male,TLS,Timor-Leste,2001,0.45299999999999996,,,,,497000,,0.547,271859
Adult literacy rate,15+ years,Male,TLS,Timor-Leste,2007,0.585,,,,,579000,,0.41500000000000004,240285.00000000003
Adult literacy rate,15+ years,Male,TLS,Timor-Leste,2010,0.6359179,,,,,628000,,0.36408209999999996,228643.55879999997
Adult literacy rate,15+ years,Male,TLS,Timor-Leste,2018,0.7186872,‡,UIS Estimation,,,790000,,0.28131280000000003,222237.11200000002
Adult literacy rate,15+ years,Female,40618,Asia (Central and Southern),2000,0.48270409999999997,,,,,,,0.5172959,
Adult literacy rate,15+ years,Female,40618,Asia (Central and Southern),2001,0.49049709999999996,,,,,,,0.5095029,
Adult literacy rate,15+ years,Female,40618,Asia (Central and Southern),2002,0.5007527,,,,,,,0.49924729999999995,
Adult literacy rate,15+ years,Female,40618,Asia (Central and Southern),2003,0.5113542,,,,,,,0.4886458,
Adult literacy rate,15+ years,Female,40618,Asia (Central and Southern),2004,0.5213354,,,,,,,0.4786646,
Adult literacy rate,15+ years,Female,40618,Asia (Central and Southern),2005,0.5139679,,,,,,,0.48603209999999997,
Adult literacy rate,15+ years,Female,40618,Asia (Central and Southern),2006,0.5259488999999999,,,,,,,0.47405110000000006,
Adult literacy rate,15+ years,Female,40618,Asia (Central and Southern),2007,0.53137,,,,,,,0.46863,
Adult literacy rate,15+ years,Female,40618,Asia (Central and Southern),2008,0.5476959,,,,,,,0.4523041,
Adult literacy rate,15+ years,Female,40618,Asia (Central and Southern),2009,0.560299,,,,,,,0.439701,
Adult literacy rate,15+ years,Female,40618,Asia (Central and Southern),2010,0.5881116,,,,,,,0.41188840000000004,
Adult literacy rate,15+ years,Female,40618,Asia (Central and Southern),2011,0.5960476,,,,,,,0.4039524,
Adult literacy rate,15+ years,Female,40618,Asia (Central and Southern),2012,0.6007736,,,,,,,0.3992264,
Adult literacy rate,15+ years,Female,40618,Asia (Central and Southern),2013,0.6102833,,,,,,,0.3897167,
Adult literacy rate,15+ years,Female,40618,Asia (Central and Southern),2014,0.6194134,,,,,,,0.3805866,
Adult literacy rate,15+ years,Female,40618,Asia (Central and Southern),2015,0.6303161,,,,,,,0.36968389999999995,
Adult literacy rate,15+ years,Female,40618,Asia (Central and Southern),2016,0.644079,,,,,,,0.35592100000000004,
Adult literacy rate,15+ years,Female,40618,Asia (Central and Southern),2017,0.6533264,,,,,,,0.3466736,
Adult literacy rate,15+ years,Female,40618,Asia (Central and Southern),2018,0.6595796,,,,,,,0.34042039999999996,
Adult literacy rate,15+ years,Female,40618,Asia (Central and Southern),2019,0.6682115000000001,,,,,,,0.33178849999999993,
Adult literacy rate,15+ years,Female,40618,Asia (Central and Southern),2020,0.6767136,,,,,,,0.3232864,
Youth literacy rate,15-24 years,Female,NCL,New Caledonia,2014,0.993,‡,UIS Estimation,,,42000,TRUE,0.007000000000000006,294.0000000000003
Youth literacy rate,15-24 years,Male,BFA,Burkina Faso,2003,0.3838109,,,,,2567000,,0.6161890999999999,1581757.4196999997
Youth literacy rate,15-24 years,Male,BFA,Burkina Faso,2005,0.4037981,,,,,2718000,,0.5962019000000001,1620476.7642
Youth literacy rate,15-24 years,Male,BFA,Burkina Faso,2006,0.3982187,,,,,2786000,,0.6017813000000001,1676562.7018000002
Youth literacy rate,15-24 years,Male,BFA,Burkina Faso,2007,0.46733739999999996,,,,,2859000,,0.5326626000000001,1522882.3734000004
Youth literacy rate,15-24 years,Male,BFA,Burkina Faso,2014,0.5699489,,,,,3498000,,0.4300511,1504318.7478
Youth literacy rate,15-24 years,Male,BFA,Burkina Faso,2018,0.6386195,,,,,3960000,FALSE,0.3613805,1431066.78
Adult literacy rate,15+ years,Female,GRD,Grenada,2004,0.986,‡,UIS Estimation,,,74000,,0.014000000000000012,1036.000000000001
Adult literacy rate,15+ years,Female,GRD,Grenada,2014,0.986,‡,UIS Estimation,,,83000,,0.014000000000000012,1162.0000000000011
Youth literacy rate,15-24 years,Both Sexes,LBR,Liberia,2007,0.4907411,‡,UIS Estimation,,,669000,,0.5092589000000001,340694.20410000003
Youth literacy rate,15-24 years,Both Sexes,LBR,Liberia,2017,0.553987,‡,UIS Estimation,,,917000,FALSE,0.446013,408993.921
Adult literacy rate,15+ years,Female,40505,Central Asia,2000,0.981203,,,,,,,0.018796999999999953,
Adult literacy rate,15+ years,Female,40505,Central Asia,2001,0.9814803999999999,,,,,,,0.01851960000000008,
Adult literacy rate,15+ years,Female,40505,Central Asia,2002,0.9826775000000001,,,,,,,0.017322499999999907,
Adult literacy rate,15+ years,Female,40505,Central Asia,2003,0.9838373,,,,,,,0.016162699999999974,
Adult literacy rate,15+ years,Female,40505,Central Asia,2004,0.9849456999999999,,,,,,,0.015054300000000076,
Adult literacy rate,15+ years,Female,40505,Central Asia,2005,0.9908268,,,,,,,0.009173199999999992,
Adult literacy rate,15+ years,Female,40505,Central Asia,2006,0.9914194000000001,,,,,,,0.008580599999999938,
Adult literacy rate,15+ years,Female,40505,Central Asia,2007,0.9920842000000001,,,,,,,0.007915799999999917,
Adult literacy rate,15+ years,Female,40505,Central Asia,2008,0.992903,,,,,,,0.00709700000000002,
